id,area,title,epistemic_type,principia_kind,maturity,stability,evidence_count,outgoing_relation_count,incoming_relation_count,tags
meta:foundations:falsifiability,foundations,Falsifiability and Risky Prediction,methodological principle,heuristic,established,high,2,0,2,epistemology|falsification|testing|risk
meta:foundations:bayesian-updating,foundations,Bayesian Updating Under Explicit Priors,theorem-backed inference principle,mechanistic,established,high,2,1,1,bayes|uncertainty|inference|sequential
meta:foundations:underdetermination,foundations,Evidence Underdetermines Explanatory Theory,epistemic proposition,heuristic,established,high,2,0,0,underdetermination|identifiability|alternatives|model-pluralism
meta:foundations:parsimony-mdl,foundations,Parsimony as Minimum Description Length,formalized heuristic,theorem,supported,high,2,2,1,parsimony|mdl|compression|model-selection
meta:foundations:replication-independence,foundations,Independent Replication Separates Stable Effects from Local Artifacts,empirical-method principle,empirical,established,high,2,1,0,replication|reproducibility|independence|external-validity
meta:foundations:randomization-controls,foundations,Randomization and Controls Break Systematic Alternative Explanations,design principle,mechanistic,established,high,2,1,1,randomization|controls|causality|experimental-design
meta:foundations:measurement-validity,foundations,Measurement Validity Precedes Numerical Precision,measurement principle,empirical,established,high,2,1,6,measurement|validity|calibration|constructs
meta:foundations:uncertainty-propagation,foundations,Uncertainty Must Propagate Through the Full Reasoning Chain,quantitative principle,mechanistic,established,high,2,2,4,uncertainty|propagation|uql|measurement
meta:foundations:multiple-testing-selection,foundations,Search Multiplicity Inflates Apparent Discovery,statistical principle,theorem,established,high,2,1,0,multiplicity|selection-bias|fdr|discovery
meta:foundations:robustness-sensitivity,foundations,A Principle Is Credible Only Across Plausible Perturbations,methodological principle,heuristic,established,high,2,2,0,robustness|sensitivity|multiverse|stability
meta:foundations:transportability,foundations,Generalization Requires Invariance Across Environments,causal-inference proposition,mechanistic,supported,high,2,1,4,transportability|invariance|domain-shift|external-validity
meta:foundations:causation-intervention,foundations,"Causal Claims Concern Intervention, Not Association Alone",causal principle,mechanistic,established,high,2,2,1,causality|intervention|counterfactuals|identification
meta:foundations:model-pluralism,foundations,"Different Models Trade Realism, Generality, and Precision",methodological observation,heuristic,supported,high,2,0,0,model-pluralism|tradeoff|ensembles|abstraction
meta:foundations:scale-separation,foundations,Explanations Are Conditional on Scale,cross-domain principle,mechanistic,established,high,2,2,4,scale|coarse-graining|emergence|effective-theory
meta:foundations:goodhart-proxy,foundations,Optimized Proxies Cease to Behave Like Passive Measures,socio-technical principle,heuristic,supported,high,2,0,2,goodhart|proxies|incentives|metric-gaming
meta:foundations:negative-evidence-asymmetry,foundations,Absence of Evidence Is Not Uniformly Evidence of Absence,inference proposition,heuristic,established,high,2,0,0,null-results|power|equivalence|negative-evidence
meta:foundations:mechanism-prediction-distinction,foundations,Predictive Success and Mechanistic Truth Are Different Achievements,epistemic principle,heuristic,established,high,2,1,2,prediction|mechanism|explanation|causality
meta:foundations:boundary-first-generalization,foundations,A Scientific Law Includes Its Domain of Validity,meta-scientific principle,heuristic,established,high,2,0,1,scope|boundary|validity-domain|generalization
meta:foundations:evidence-provenance,foundations,Scientific Claims Require Recoverable Provenance,governance principle,heuristic,established,high,2,1,0,provenance|audit|reproducibility|lineage
meta:foundations:triangulation,foundations,Convergent Evidence Across Methods Is Stronger Than Repetition Within One Bias Structure,methodological principle,heuristic,supported,high,2,0,2,triangulation|evidence-diversity|causal-inference|methods
meta:foundations:resource-bounded-inference,foundations,All Inference Is Resource-Bounded,computational principle,heuristic,established,high,2,2,3,resources|bounded-rationality|compute|metareasoning
meta:mathematics-logic:axiomatic-method,mathematics-logic,The Axiomatic Method Separates Assumptions from Consequences,methodological axiom,heuristic,established,high,2,0,1,axioms|assumptions|deduction|formalization
meta:mathematics-logic:first-order-completeness,mathematics-logic,Semantic Validity Equals Provability in First-Order Logic,completeness theorem,theorem,established,high,2,0,0,completeness|first-order-logic|semantics|proof
meta:mathematics-logic:incompleteness,mathematics-logic,Sufficiently Expressive Consistent Formal Systems Are Incomplete,incompleteness theorem,theorem,established,high,2,1,0,incompleteness|self-reference|formal-limits|arithmetic
meta:mathematics-logic:church-turing-thesis,mathematics-logic,Effective Computability Is Captured by Turing-Equivalent Models,thesis,hypothesis,established,high,2,1,0,computability|turing-machine|lambda-calculus|effective-procedure
meta:mathematics-logic:halting-undecidability,mathematics-logic,No General Algorithm Decides Whether Arbitrary Programs Halt,undecidability theorem,theorem,established,high,1,1,2,halting|undecidability|diagonalization|program-analysis
meta:mathematics-logic:rice-theorem,mathematics-logic,Every Nontrivial Semantic Property of Programs Is Undecidable in General,Rice theorem,theorem,established,high,1,1,0,rice-theorem|semantic-properties|undecidability|static-analysis
meta:mathematics-logic:diagonalization,mathematics-logic,Diagonalization Constructs Objects Outside Any Claimed Enumeration,proof schema,theorem,established,high,2,1,0,diagonalization|uncountability|self-reference|proof-schema
meta:mathematics-logic:compactness,mathematics-logic,Finite Satisfiability Controls First-Order Satisfiability,compactness theorem,theorem,established,high,2,0,0,compactness|model-theory|local-to-global|satisfiability
meta:mathematics-logic:lowenheim-skolem,mathematics-logic,First-Order Theories Cannot Uniquely Control Infinite Cardinality,model-theoretic theorem,theorem,established,high,2,0,0,lowenheim-skolem|models|cardinality|categoricity
meta:mathematics-logic:fixed-point,mathematics-logic,Self-Consistent States Arise as Fixed Points of Mappings,theorem family,theorem,established,high,2,1,2,fixed-point|equilibrium|convergence|self-consistency
meta:mathematics-logic:invariance,mathematics-logic,Invariants Reveal Structure Independent of Representation,structural principle,theorem,established,high,2,0,2,invariance|symmetry|representation|classification
meta:mathematics-logic:duality,mathematics-logic,Dual Formulations Expose Complementary Constraints and Certificates,duality principle,theorem,established,high,2,1,0,duality|certificates|bounds|optimization
meta:mathematics-logic:variational-principle,mathematics-logic,Global or Local Extremality Can Generate Governing Equations,variational principle,theorem,established,high,2,2,2,variation|extremum|euler-lagrange|functional
meta:mathematics-logic:structural-abstraction,mathematics-logic,Structure-Preserving Maps Matter More Than Surface Representation,structural principle,heuristic,established,high,2,2,0,category-theory|morphisms|structure|abstraction
meta:mathematics-logic:existence-construction-gap,mathematics-logic,Existence Does Not Imply Construction or Efficient Discovery,foundational proposition,theorem,established,high,2,1,0,existence|construction|complexity|witness
meta:mathematics-logic:proof-model-distinction,mathematics-logic,Proof Validity Is Relative to Formal Rules; Model Adequacy Is Empirical or Interpretive,meta-logical principle,heuristic,established,high,2,1,1,proof|model|validation|formal-empirical-boundary
meta:statistics-causality:likelihood-and-evidence,statistics-causality,Likelihood Measures Relative Support Within a Statistical Model,inference principle,theorem,established,high,2,0,2,likelihood|evidence|model-comparison|inference
meta:statistics-causality:sufficiency,statistics-causality,Sufficient Statistics Preserve Parameter Information Relative to a Model,sufficiency theorem family,theorem,established,high,2,0,0,sufficiency|compression|statistics|information
meta:statistics-causality:law-large-numbers,statistics-causality,Averages Stabilize Under Repeated Sampling Assumptions,law of large numbers,theorem,established,high,2,0,1,law-large-numbers|averaging|sampling|convergence
meta:statistics-causality:central-limit,statistics-causality,Aggregated Fluctuations Often Approach Gaussian Form,central limit theorem,theorem,established,high,2,0,0,central-limit|gaussian|aggregation|sampling
meta:statistics-causality:identifiability,statistics-causality,Parameters or Causal Effects Require Distinct Observable Implications,identifiability principle,theorem,established,high,2,1,0,identifiability|observational-equivalence|inverse-problem|causality
meta:statistics-causality:neyman-pearson,statistics-causality,Optimal Tests Depend on Explicit Error Trade-offs and Alternatives,Neyman-Pearson lemma,theorem,established,high,1,0,0,hypothesis-testing|power|errors|likelihood-ratio
meta:statistics-causality:false-discovery-rate,statistics-causality,Discovery Lists Require Control of Expected False Proportions,false discovery rate theorem,theorem,established,high,2,1,1,fdr|multiple-testing|discovery|screening
meta:statistics-causality:bootstrap,statistics-causality,Empirical Resampling Approximates Sampling Uncertainty Under Stability Conditions,bootstrap principle,heuristic,established,high,2,0,1,bootstrap|resampling|uncertainty|stability
meta:statistics-causality:missing-data-mechanisms,statistics-causality,Missingness Is Part of the Data-Generating Process,missing-data framework,mechanistic,established,high,2,1,0,missing-data|mcar|mar|mnar
meta:statistics-causality:sutva-consistency,statistics-causality,Causal Effects Require Well-Defined Treatments and Potential Outcomes,causal consistency principle,mechanistic,established,high,2,0,1,sutva|consistency|treatment-definition|interference
meta:statistics-causality:exchangeability,statistics-causality,Causal Comparison Requires Exchangeability or a Design Substitute,causal assumption,mechanistic,established,high,2,0,3,exchangeability|confounding|adjustment|causal-identification
meta:statistics-causality:positivity,statistics-causality,Effects Are Learnable Only Where Treatment Alternatives Have Support,positivity assumption,mechanistic,established,high,2,1,0,positivity|overlap|support|extrapolation
